epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage,label
24.5,0.25521844148635864,0.4799999892711639,0.2381681352853775,0.6000000238418579,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016195289100000003,0.0083422246768,0.025104608852000002,0.007305259304,0.01618564414,0.00017907233530147664,0.2654195694,0.1697314458,0.008136079152,0.0031707146280000004,5.781999999999999,0.292236328125,8.5,HBS
24.5,40.67775335033075,0.0,8.199729277190052,0.0,0.0,0.0,0.14,0.0,0.0,0.02,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.001121132044001,4.377329780756,13.830166352059997,1.3923365043616003,5.038959130054199,0.00017907233530147664,17.53700666,10.127749874,-0.04482492481739999,0.29703342835200003,1.8360000000000003,7.467041015625,6.857999999999999,HBS
24.5,0.32305111706256867,0.4399999976158142,0.3692006343603134,0.3499999940395355,0.0,0.0,0.48,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0727824743,0.04223949196000001,0.12094885836000001,0.024871581660000003,0.0726547272,0.00017907233530147664,0.48201778679999996,0.13543357579999998,0.047930970639999994,0.003681925528000001,5.840000000000001,0.409423828125,8.7,HBS
24.5,22428.699084472657,0.0,2582.9155419921876,0.0,257.56,0.0,0.98,1.0,0.0,0.82,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3553.836124930001,3243.438130740001,8745.181549160001,17.847256,3407.7084000000004,0.0017907230925047319,1.7437986586000003,0.0,-16.286642670000003,0.0,28.198,1.149169921875,14.799999999999997,HBS
24.5,2815.024958496094,0.0,1837.4746166992188,0.0,216.88,0.0,0.98,1.0,0.0,0.42,1.0,1.0,1.0,1.0,0.0,0.0,0.0,169.50934852999995,156.90614822,418.73413103999997,1.19744484,162.112032,0.0017907230925047319,5.8694811866,0.0,-13.511687348,0.0,28.093999999999998,1.149169921875,14.799999999999997,HBS
24.5,1813.2782739257811,0.0,1685.5596313476562,0.0,76.92,0.0,0.98,1.0,0.0,0.62,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27.986455579999998,37.60357852,100.40323778,1.1666174,17.54496,0.0017907230925047319,7.0708111006,0.0,-10.254547006000001,0.0,28.186,1.158486328125,14.9,HBS
24.5,15335.685834960937,0.0,2408.27369140625,0.0,344.72,0.0,0.98,1.0,0.0,0.64,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1371.5261169299995,1172.2710648600003,3072.60090112,8.447214,1435.4605999999999,0.0017907230925047319,2.60351125012,0.0,-15.651306542,0.0,28.183999999999997,1.172998046875,14.9,HBS
24.5,2335.2759426271914,0.4874418610334396,0.6962385678291321,0.5,613954.06,0.04,0.04,1.0,0.98,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,143.08484348926663,298.848379155045,928.0926635219591,0.0005763896000000001,21.076302000000002,0.17620718153938647,-730.2871031999999,2665.0918854,-1.231442827e-05,0.0033835113322000007,3.988,7514.29052734375,10.654000000000002,HLR
24.5,0.05737453311681742,0.9753250098228454,0.056914037391543354,0.9866000115871429,0.0,0.0,0.04,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016745088512000003,0.025772612834000005,0.09382682546000001,0.001680705937,0.005372280695999999,0.00017907233530147664,1.1425717460000002,1.6477336200000001,-0.00015393900338,0.017756461586,14.122000000000003,25.69189453125,10.328,HBS
24.5,8199.43815673828,0.0,2083.7769677734377,0.0,289.82,0.0,0.98,1.0,0.0,0.56,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1437.27504397,1300.81256738,3479.7904640800007,8.688226,1359.9710999999998,0.0017907230925047319,4.2969158646,0.0,-14.494496526,0.0,28.149999999999995,1.1907373046875,14.9,HBS
24.5,1782.4121411132812,0.0,1678.4796557617187,0.0,15.94,0.0,0.98,1.0,0.0,0.58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27.114021821999998,37.27202536,99.6450581,1.2096858,14.952088000000002,0.0017907230925047319,7.0827637692,0.0,-10.680466875999999,0.0,28.203999999999997,1.2100537109375,14.9,HBS
24.5,7676.253161621094,0.0,2113.077131347656,0.0,294.82,0.0,0.98,1.0,0.0,0.64,1.0,1.0,1.0,1.0,0.0,0.0,0.0,730.06911937,646.6110510599999,1774.1848761,5.318506,694.6594,0.0017907230925047319,4.184836993399999,0.0,-13.416278174000002,0.0,28.873999999999995,1.2192138671875,14.9,HBS
24.5,2589.803615722656,0.0,2067.61458984375,0.0,218.82,0.0,0.98,1.0,0.0,0.58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,123.06053536000002,120.79197507999997,316.80888718,0.44542126000000004,110.69710205999999,0.0017907230925047319,6.1545207600000005,0.02238327436,-11.621368166,3.082257013999999,28.209999999999994,1.149169921875,14.799999999999997,HBS
24.5,6223.684509277344,0.0,2026.5848315429687,0.0,217.82,0.0,0.98,1.0,0.0,0.58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,572.8022077099998,508.22203299999995,1398.9504073599996,4.237801,528.70624,0.0017907230925047319,4.6448906908,0.0,-13.419412934,0.0,28.104,1.149169921875,14.799999999999997,HBS
24.5,1744.2876123046874,0.0,1652.5464379882812,0.0,22.94,0.0,0.98,1.0,0.0,0.54,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27.156483919999996,37.75002294,101.15036416000001,1.0978790999999999,15.841969999999998,0.0017907230925047319,7.35861178,0.0,-10.370747398,0.0,28.223999999999997,1.149169921875,14.799999999999997,HBS
24.5,2130.976953125,0.0,1778.7595043945312,0.0,251.9,0.0,0.98,1.0,0.0,0.46,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.64203330200002,118.27134967999999,310.2494396199999,1.01561768,114.053652,0.0017907230925047319,6.2960223496,0.0,-12.561138912,0.0,28.122,1.149169921875,14.799999999999997,HBS
24.5,1962.1918505859376,0.0,1744.06564453125,0.0,178.9,0.0,0.98,1.0,0.0,0.46,1.0,1.0,1.0,1.0,0.0,0.0,0.0,102.00698667600001,97.79458584,233.32898774,0.5585925199999999,102.22914,0.0017907230925047319,6.5914967872,0.0,-9.920535828,0.0,28.208,1.149169921875,14.799999999999997,HBS
24.5,1545.2574072265625,0.0,1462.8267749023437,0.0,10.7,0.0,0.98,1.0,0.0,0.68,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66.19978364800001,74.519548906,168.30944367,0.92447276,32.565988930799996,0.0017907230925047319,11.573562566,0.2695873751296,-8.1918089672,8.750508181896002,28.91,1.149169921875,14.892000000000001,HBS
24.5,2.2676023960113527,0.15280333325266834,2.310082015991211,0.10401999995112413,0.0,0.0,0.02,1.0,0.82,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.023543326047999996,0.018285272050000002,0.04685529317999999,0.0028041085541999997,0.022256951160000003,0.00017907233530147664,0.008034266649600002,0.09225998322,1.4413283437999998e-06,0.00887185753,19.732000000000003,878.2750830078126,18.404,HBS
24.5,0.09782176122069355,0.9611749935150147,0.12555243685841558,0.9411999964714051,0.0,0.0,0.08,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.015475333682,0.020118873695999996,0.0690474602,0.0013155001795999998,0.00627404859,0.00017907233530147664,1.5684220400000002,2.211770734,-0.00023906790220000002,0.016549293058,13.606,25.8002001953125,11.0,HBS
24.5,3440.71474609375,0.0,1880.3358203125,0.0,258.86,0.0,0.98,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,402.9930569300001,361.68060054,921.0005619799999,2.967846,400.76847999999995,0.0017907230925047319,5.619633277896001,0.0,-12.360145358,0.0,28.173999999999996,1.149169921875,14.9,HBS
24.5,62205.343393554685,0.0,4366.841499023438,0.0,192.36,0.0,0.98,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7844.518376700001,6673.514908460001,14652.189060319999,28.249378,8773.5876,0.0017907230925047319,-4.532052427999999,0.0,-23.004200240000003,0.0,28.133999999999997,1.149169921875,14.9,HBS
24.5,14684.337204589843,0.0,3040.6039013671875,0.0,293.12,0.0,0.98,1.0,0.0,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3244.9593184699997,2929.3520841599993,7952.51271164,20.313237400000002,3112.7140000000004,0.0017907230925047319,-0.4854137714,1.5780684000000001e-06,-18.26206716,0.039740812,28.325999999999993,1.2234375,14.9,HBS
24.5,3818.2159912109373,0.0,1420.25166015625,0.0,262.0,0.0,0.98,1.0,0.0,0.66,1.0,1.0,1.0,1.0,0.0,0.0,0.0,463.14699226300013,412.24843561399996,1059.3839568859999,4.7799642,424.5148120894001,0.0017907230925047319,12.827134572000002,0.3852045729028001,-7.152941672799999,12.013652938140002,28.176,1.2338330078125,14.9,HBS
24.5,4956.196032714844,0.0,2410.6667724609374,0.0,179.38,0.0,0.98,1.0,0.0,0.82,1.0,1.0,1.0,1.0,0.0,0.0,0.0,818.9778582000002,709.9588553999998,1799.2982293599996,8.121789,841.3878,0.0017907230925047319,2.2950146404,0.0,-15.82400444,0.0,28.19,1.379580078125,14.9,HBS
24.5,23649.3876171875,0.0,58193.048203125,0.0,143.22,0.0,0.98,0.98,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2387.81321818,2015.7556742799998,5094.28131758,18.098672,2551.546406218281,0.0017907230925047319,2.661272612584,2.1021991,358.61131258,771.6483599999999,28.27,1.393046875,14.9,HBS
24.5,3771.651726074219,0.0,2227.19068359375,0.0,209.68,0.0,0.98,1.0,0.0,0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,486.07725825999995,439.6809703199999,1168.72561028,5.1956672,435.9814,0.0017907230925047319,3.2527223786799997,2.9564658e-07,-14.286288899999999,0.014559854,28.18,1.410625,14.9,HBS
24.5,2116.5003051757812,0.0,2010.2881909179687,0.0,56.84,0.0,0.98,1.0,0.0,0.54,1.0,1.0,1.0,1.0,0.0,0.0,0.0,49.24104462799999,59.123916279999996,155.74128768,0.0905988,33.419188,0.0017907230925047319,4.518757792,0.0,-12.967638225999998,0.0,28.752000000000002,1.4321337890625,15.0,HBS
24.5,25037.56505859375,0.0,3364.551396484375,0.0,342.18,0.0,0.98,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4512.15621094,4093.68970436,10942.961665100001,24.764786,4356.6816,0.0017907230925047319,-1.7152638789000003,0.0,-20.13880457,0.0,28.228,1.444150390625,15.0,HBS
24.5,0.048846074044704396,0.9766000044345856,0.0889111582934856,0.9663999950885773,0.0,0.0,0.04,0.0,0.02,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.018970841636000005,0.024962553865999996,0.07792931296,0.00173985057136,0.006148474974,0.00017907233530147664,1.5771204059999997,2.1574192119999998,-0.00104151403246,0.013372714498,13.568,25.859521484375,11.002,HBS
24.5,2867.050302734375,0.0,1411.4391479492188,0.0,275.0,0.0,0.98,1.0,0.0,0.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,494.45494743200004,448.3599848319999,1133.78598602,4.9178406,419.6135250740001,0.0017907230925047319,13.286439966680001,0.3513040971769999,-9.4598593196,11.745261332799998,28.316000000000003,1.252890625,14.9,HBS
24.5,1740.9242626953126,0.0,1421.9402319335939,0.0,185.0,0.0,0.98,1.0,0.0,0.68,1.0,1.0,1.0,1.0,0.0,0.0,0.0,203.76628337,197.188956128,490.603252826,1.6861485999999999,147.95384662759997,0.0017907230925047319,12.325433754000002,0.33714626161308003,-8.677122636799998,11.257200612000002,28.184,1.2670166015625,14.9,HBS
24.5,3064.2680053710938,0.0,2198.7110791015625,0.0,224.72,0.0,0.98,1.0,0.0,0.54,1.0,1.0,1.0,1.0,0.0,0.0,0.0,296.612674134,263.64541618,616.91208528,2.8950428,304.2364,0.0017907230925047319,3.4095270172,0.0,-14.516112364000001,0.0,28.254,1.283671875,14.9,HBS
24.5,1770.12611328125,0.0,1411.27552734375,0.0,171.0,0.0,0.98,1.0,0.0,0.58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,185.07497091200003,178.948104304,431.191363874,1.4000743199999999,144.527457484,0.0017907230925047319,12.6798336432,0.35460485263386005,-7.5683898644,11.2064325028,28.195999999999998,1.2978662109375,14.9,HBS
24.5,2345.478537597656,0.0,2047.363115234375,0.0,135.82,0.0,0.98,1.0,0.0,0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,112.82525462,112.63736583999999,289.67102675999996,1.10458404,90.8049,0.0017907230925047319,4.2897559128,0.0,-13.812447662,0.0,29.195999999999998,1.313974609375,14.9,HBS
24.5,2354.432216796875,0.0,2039.44984375,0.0,102.82,0.0,0.98,1.0,0.0,0.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,83.48718165999999,85.59379932,220.66590578,1.15921424,73.02627000000001,0.0017907230925047319,4.3379395916,2.2421982e-08,-15.395340295999997,0.0010422552,28.195999999999998,1.3344384765625,14.9,HBS
24.5,2670.707998046875,0.0,1450.2154516601563,0.0,246.0,0.0,0.98,1.0,0.0,0.74,1.0,1.0,1.0,1.0,0.0,0.0,0.0,455.52624332000005,417.00417295999995,1038.18914816,4.986317199999999,391.70556556199995,0.0017907230925047319,12.5485818794,0.35604663823357396,-7.03274061708,11.403386540000001,28.264,1.347197265625,14.9,HBS
24.5,1470.8585913085938,0.0,1389.7164404296875,0.0,1.0,0.0,0.98,1.0,0.0,0.64,1.0,1.0,1.0,1.0,0.0,0.0,0.0,68.49014395600001,82.58368943400001,184.86510758,1.17125672,21.268657032,0.0017907230925047319,12.8436040008,0.3298541029626,-9.7039425257,12.41984586174,28.252,1.36158203125,14.9,HBS
24.5,3102.202951660156,0.0,1328.6722290039063,0.0,14.0,0.0,0.98,1.0,0.0,0.06,1.0,1.0,1.0,1.0,0.0,0.0,0.0,393.7999286980001,343.80883531000006,816.9405523,0.44991336,383.2142,0.0017907230925047319,13.166696770000001,0.0,-4.198648625800001,0.0,28.010000000000005,0.9329736328125,15.1,HBS
24.5,0.34592888653278353,0.8377249956130981,0.44269010186195373,0.8119000005722046,0.0,0.0,0.04,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02668294518,0.030958970619999998,0.09209316408,0.0024269130184,0.011118633507999999,0.00017907233530147664,1.6000654819999998,2.108712294,0.0006876960692,0.028390961549999996,11.65,25.874755859375,9.959999999999999,HBS
24.5,1393.3635595703124,0.0,1324.6556079101563,0.0,71.0,0.0,0.98,1.0,0.0,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.468597338000002,18.173771287999998,46.83151182,1.0157608,10.123669999999999,0.0017907230925047319,13.189805539999998,0.0,-5.560643732,0.0,28.050000000000004,0.938291015625,14.98,HBS
24.5,65475.27157958984,0.0,1845.4091918945312,0.0,361.0,0.0,0.98,1.0,0.0,0.12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5788.063250474,5007.459192204,12032.332702799999,1.438656,6126.37,0.0017907230925047319,11.61603728,0.0,-6.9434578546,0.0,28.008000000000003,1.0808984375,14.700000000000003,HBS
24.5,1382.852900390625,0.0,1324.1365502929686,0.0,1.0,0.0,0.98,1.0,0.0,0.06,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.800716864000001,12.19913669,33.29083818000001,0.3562164,1.6465072,0.0017907230925047319,13.176450510000002,0.0,-6.2481264262,0.0,27.968000000000004,1.1046923828125,14.696000000000002,HBS
24.5,2092.848747558594,0.0,1331.78646484375,0.0,211.0,0.0,0.98,1.0,0.0,0.02,1.0,1.0,1.0,1.0,0.0,0.0,0.0,86.71912863399999,79.87210446,204.96756368,1.317716,81.55749,0.0017907230925047319,13.118967332000002,0.0,-4.9396876864,0.0,27.884000000000004,1.118369140625,14.6,HBS
