epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,dying_relu,gradient_vanish,gradient_explode,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage,label
24.5,0.0922461740672588,-2.6504978271484374,0.09594360575079915,-1.6891594299316404,0.0,1.0,1.0,0.78,0.0,0.0,0.0,0.0,0.010008735696,0.014593849400000001,0.043138345954000006,0.0014266528396,0.002687700606,0.00017907233530147664,0.36742813920000006,0.27695350399999996,-0.00062588999784,0.0026069807400000006,4.762,65.1746826171875,12.829999999999998,buggy
24.5,0.11314630880951877,-2.412432586669922,0.11613474711775774,-1.936848489379883,0.0,0.96,1.0,0.88,0.0,0.0,0.0,0.0,0.01762704229,0.03180417194,0.10165772564000002,0.0010132015009599999,0.0021192271520000003,0.00017907233530147664,0.22697481298,0.1444484812,-0.00239250065,0.003390292824,4.516,66.0195556640625,14.994000000000002,buggy
24.5,0.1111310018599033,-2.344579116821289,0.109154053479433,-4.2605424407958985,0.0,0.96,1.0,0.9,0.0,0.0,0.0,0.0,0.01724981432,0.031325457800000005,0.09487402572,0.0007525757667999999,0.001594117522,0.00017907233530147664,0.2429681787,0.16786447899999998,-0.0021435720137999996,0.003311267204,16.694,66.7810400390625,17.720000000000006,buggy
24.5,0.6914113819599151,0.06180000018328423,0.6940482711791992,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.02565625064,0.01348536459,0.04510786845999999,0.015150276720000001,0.0167278586,0.00017907233530147664,0.17887876640000003,0.023771917460000003,0.00019569608648,0.0013216973178,2.14,201.555419921875,7.399999999999999,buggy
24.5,0.6923020267486573,0.33484746038913726,0.6946262156963349,0.33780000269412996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0013923218796,0.0018271388642,0.006313137703999999,0.00012126217828,0.0006639025884000001,0.00017907233530147664,0.08645498583999998,0.03928785146,-0.000132816059,0.000650781649,3.072,56.4235546875,8.899999999999999,correct
24.5,0.08997924074530599,-3.275344396972656,0.09576038092374796,-2.2632894531249996,0.0,1.0,0.1,0.52,0.0,0.0,0.0,0.0,0.010027070229999999,0.013036116957999997,0.038959434705999996,0.0020906558466,0.0037564041879999998,0.00017907233530147664,0.3595260126,0.20828225440000003,-0.00059607165542,0.0024492777679999997,22.393999999999995,28.07650390625,8.106000000000002,buggy
24.5,2902.1902880859375,0.0,2800.9498388671873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,145.4691001,100.60116638000001,335.201345,29.955808909999995,115.23812053999998,0.00017907233530147664,0.14128458768,0.11179338364,-25.345935940000004,11.971780067999997,28.234,1.1997998046875,13.700000000000003,buggy
24.5,0.1104955112934112,-7.173319604492187,0.10699578911066052,-1.4664456512451174,0.0,0.98,1.0,0.82,0.0,0.0,0.0,0.0,0.017780416210000004,0.03176994008,0.09210024457999999,0.0009924671954200002,0.0016436796078,0.00017907233530147664,0.25528476732,0.1869600184,-0.00196423315,0.003336578262,22.896000000000004,29.718818359375,8.2,buggy
24.5,0.11151508808135983,-7.426199954223633,0.11287365034222599,-1.2936192764282226,0.0,1.0,1.0,0.86,0.0,0.0,0.0,0.0,0.017756939359999998,0.03187341924,0.09497067271999998,0.0008353025436000001,0.0017581219989999996,0.00017907233530147664,0.24658347160000005,0.17607237379999996,-0.002207890499,0.0034021139819999996,21.773999999999997,36.43283203125,8.7,buggy
24.5,0.07895426511764522,-3.4287421630859374,0.09392032504081722,-2.2127906311035157,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.007007288027999999,0.007094840436000001,0.02476370527,0.0021940764429999996,0.0038473781940000003,0.00017907233530147664,0.4465661938,0.2536610542,5.685745776000018e-06,0.00229903055,21.081999999999994,36.813212890625,8.7,buggy
24.5,0.08594503447413442,-2.062851977539063,0.09072916164994237,-3.111525360107422,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.009242856014,0.013352912837999999,0.039756840280000004,0.0013778505796,0.002451562461,0.00017907233530147664,0.37399103119999993,0.2726998684,-0.0004388560697252,0.002400591566,21.573999999999998,37.3637548828125,8.7,buggy
24.5,0.08432807490229603,-2.1672300323486327,0.0903339537978172,-1.4267911041259769,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.008194377634,0.010558372360000002,0.033349758986000004,0.0017064201564,0.003132981626,0.00017907233530147664,0.42148950320000006,0.2864037462,-0.000525624875476,0.0024651163899999996,23.778,38.393564453125,8.8,buggy
24.5,2868.752424316406,0.0,2783.2555322265625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,168.28953644,123.8239562,421.5839275999999,39.21904576,132.96538054,0.00017907233530147664,0.16749078839999998,0.11987269419999999,-25.710220129999996,13.225366359999999,28.272,1.229697265625,13.700000000000003,buggy
24.5,0.08426847159862515,-2.710346771240234,0.08769556656479832,-2.0455243988037113,0.0,1.0,1.0,0.66,0.0,0.0,0.0,0.0,0.006948616516,0.00934438173,0.029561513175999997,0.0013192293646,0.0023681629612000003,0.00017907233530147664,0.38972808959999994,0.2935016282,-0.00025842600888,0.002073715137,23.837999999999994,38.9087939453125,8.8,buggy
24.5,0.2504900762438774,0.5967999735474586,0.25015889436006544,0.5649999964237213,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.016616519549999997,0.006785526058,0.023539711529999997,0.008001890002,0.01746223795,0.00017907233530147664,0.2605105224,0.22036899180000002,-0.009483282050000002,0.0041943618924,5.695999999999999,0.267822265625,8.399999999999999,buggy
24.5,0.0901869490742683,-5.6783139099121085,0.09471953272819515,-4.1919607727050785,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.009475227824,0.013931244688000001,0.042726145667999996,0.0013490744345999999,0.002636267565,0.00017907233530147664,0.40817082139999994,0.32709251780000004,-0.0006702906427799999,0.0025097028819999995,23.96,29.81435546875,8.264000000000001,buggy
24.5,0.08232154235243794,-2.109979815673828,0.0965142153203487,-2.8932677734375,0.0,1.0,0.0,0.22,0.0,0.0,0.0,0.0,0.008270210832,0.010851461988,0.035896972508,0.0016422436102,0.0033043888160000003,0.00017907233530147664,0.527498347,0.4539279902000001,-7.282256519999995e-05,0.0029805642740000004,23.639999999999997,30.7841259765625,8.3,buggy
24.5,0.6928202724456787,0.5269999921321868,0.6930565738677978,0.6000000238418579,0.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.025279195760000005,0.0136594285,0.045057023960000005,0.014407557299999998,0.01637620836,0.00017907233530147664,0.17998850959999996,0.022964071540000002,0.00021815438248399998,0.0013128603691999997,3.873999999999999,225.09119140625,7.399999999999999,buggy
24.5,0.6899292302131653,0.37030508399009704,0.6927224588394165,0.3518000042438507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0029299596104000003,0.002886368561800001,0.010921218352,0.00027521895754,0.0016107727044,0.00017907233530147664,0.09069813656,0.051233434280000004,-2.2792918220000002e-05,0.0008462418928000001,2.7500000000000004,57.5363134765625,9.0,correct
24.5,1.2951969385147095,,1.4840438175201416,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766942406,0.02386812784,0.07512174448,0.004926143452,0.037195412770000005,0.00017907233530147664,0.09409420466,0.10712882853999998,-8.694411658446e-05,0.021964105379999998,5.152,23.19455078125,8.0,correct
24.5,0.09340214207768437,-2.1351608489990235,0.10042664825916287,-2.7014797592163085,0.0,1.0,0.06,0.58,0.0,0.0,0.0,0.0,0.007734702964000001,0.010490168794,0.035062316024,0.0016683542102000001,0.0029949036059999995,0.00017907233530147664,0.38558374408000007,0.2531926868,-0.00080571150106,0.002275266998,21.727999999999994,31.1648876953125,8.3,buggy
24.5,0.090908790230751,-4.576580120849609,0.09578577861189838,-3.392563662719727,0.0,1.0,0.08,0.52,0.0,0.0,0.0,0.0,0.008572272758000002,0.01158598896,0.036150951524,0.0015103421576000001,0.003076147288,0.00017907233530147664,0.41501777719999994,0.28653323560000005,-0.0006618461253200002,0.00254223093,23.162,32.4012939453125,8.399999999999999,buggy
24.5,0.10876260116696354,-4.426977575683593,0.11207907646894451,-2.236799075317383,0.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.01842164653,0.032426556520000004,0.09089888195999998,0.0009356306478,0.0017668792472,0.00017907233530147664,0.26344421279999997,0.19776106839999996,-0.0017325523418000002,0.0037077188320000006,19.754,32.8314892578125,8.403999999999998,buggy
24.5,0.07583162367343899,-2.795381604003907,0.09104836493730542,-5.013459301757813,0.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,0.007292385686,0.0069594813299999995,0.02494470541,0.0023958677400000004,0.004155415308,0.00017907233530147664,0.4964012442,0.25044963540000004,-3.648163160000001e-05,0.0024932628780000004,22.967999999999993,33.558017578125,8.5,buggy
24.5,0.0938347318768501,-2.502241644287109,0.09725127503275868,-2.1176887268066404,0.0,1.0,1.0,0.74,0.0,0.0,0.0,0.0,0.013143491885999998,0.020066428748000003,0.05588682318,0.0013681261806000003,0.002697823002,0.00017907233530147664,0.3135785106,0.198593111,-0.00109998691584,0.0026745367866,22.337999999999997,34.149716796875,8.560000000000002,buggy
