epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage,label
24.5,0.25521844148635864,0.4799999892711639,0.2381681352853775,0.6000000238418579,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016195289100000003,0.0083422246768,0.025104608852000002,0.007305259304,0.01618564414,0.00017907233530147664,0.2654195694,0.1697314458,0.008136079152,0.0031707146280000004,5.781999999999999,0.292236328125,8.5,Hyperparameter
24.5,1586.5140380859375,0.0,1399.1485620117187,0.0,161.98,0.0,0.98,1.0,0.0,0.16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,39.587867776,40.507041238,102.83285053,1.1954056,37.065722,0.0017907230925047319,11.130458337999997,0.0,-6.546721743999999,0.0,27.982000000000003,1.149169921875,14.700000000000003,Hyperparameter
24.5,1623.6189111328124,0.0,1376.0868774414062,0.0,120.88,0.0,0.98,1.0,0.0,0.76,1.0,1.0,1.0,1.0,0.0,0.0,0.0,130.60970636,133.26737384,319.19556990000007,0.76425888,85.2630576,0.0017907230925047319,12.958980985999998,0.31187035719999995,-7.818225472199999,12.053442657599998,27.978,1.149169921875,14.700000000000003,Hyperparameter
24.5,1770.7325927734375,0.0,1425.4633447265626,0.0,167.96,0.0,0.98,1.0,0.0,0.18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,86.51386628600001,81.732524494,208.77372190000003,1.08607026,78.533056,0.0017907230925047319,10.797513790999998,0.0,-7.655515342799999,0.0,27.976000000000003,1.149169921875,14.700000000000003,Hyperparameter
24.5,11407.75205078125,0.0,1606.3695263671875,0.0,258.96,0.0,0.98,1.0,0.0,0.34,1.0,1.0,1.0,1.0,0.0,0.0,0.0,941.69305803,829.21291273,2261.49626836,2.7000538,913.73352,0.0017907230925047319,9.1596181508,0.0,-9.430961021999998,0.0,27.952,1.149169921875,14.6,Hyperparameter
24.5,1478.5056323242188,0.0,1397.7028857421874,0.0,0.92,0.0,0.98,1.0,0.0,0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,57.402195979999995,69.79868428,154.80250672,0.52295186,16.77452047,0.0017907230925047319,13.222705233999998,0.2975538886,-8.8552200576,11.6482417116,27.912000000000003,1.149169921875,14.700000000000003,Hyperparameter
24.5,1628.9578125,0.0,1419.2617260742188,0.0,196.96,0.0,0.98,1.0,0.0,0.22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,76.16555989199999,75.31283593999999,200.82861720000005,0.68544754,68.419776,0.0017907230925047319,10.842251477999998,0.0,-6.941965618199999,0.0,28.366000000000003,1.149169921875,14.700000000000003,Hyperparameter
24.5,1579.5175415039062,0.0,1397.6453857421875,0.0,108.98,0.0,0.98,1.0,0.0,0.18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,55.014275158000004,55.00690555999999,138.45538918,0.83812836,49.091006,0.0017907230925047319,11.117301498,0.0,-6.7297448187999995,0.0,27.951999999999998,1.149169921875,14.700000000000003,Hyperparameter
24.5,2044.448388671875,0.0,1426.1090283203125,0.0,217.96,0.0,0.98,1.0,0.0,0.22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,165.44164776000002,148.81397342999998,340.7710344999999,0.15936082000000001,175.6489,0.0017907230925047319,10.8638075666,0.0,-6.19844165912,0.0,27.978,1.149169921875,14.700000000000003,Hyperparameter
24.5,1455.4303979492188,0.0,1389.1746752929687,0.0,92.98,0.0,0.98,1.0,0.0,0.26,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16.057400442000002,21.6018914,57.86586134,1.4818161,9.3961914,0.0017907230925047319,11.279806808,0.0,-7.3471412634,0.0,27.977999999999998,1.149169921875,14.700000000000003,Hyperparameter
24.5,1658.7824853515624,0.0,1467.8092333984375,0.0,162.96,0.0,0.98,1.0,0.0,0.28,1.0,1.0,1.0,1.0,0.0,0.0,0.0,69.24609846,68.47072052,172.72146265999996,0.066122226,64.11256,0.0017907230925047319,11.327472091999999,0.011469826,-7.854566050000001,0.58887432,28.388,1.149169921875,14.700000000000003,Hyperparameter
24.5,0.6930690419673919,0.5066925024986267,0.6936912834644318,0.4850000143051147,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0008938719521999999,0.0009096872829999999,0.0027188557299999993,3.4309277910000005e-05,0.0004858820296,0.00017907233530147664,0.17274588580000003,0.013324809529999999,-0.0007846777606,0.0015331759045999998,1.8279999999999998,11.5697021484375,7.3,Hyperparameter
24.5,0.9707468557357788,0.209999993443489,1.0948720598220825,0.3000000119209289,0.0,0.0,0.72,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.008573763524000001,0.003627743927,0.013556111688000002,0.0046148765372,0.00806203275,0.00017907233530147664,0.020124830625999998,0.2581093068,-2.631690179999993e-05,0.0024035775328,5.895999999999999,0.38623046875,8.5,Loss
24.5,1750.9199609375,0.0,1420.4969360351563,0.0,189.96,0.0,0.98,1.0,0.0,0.22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,61.51893032,62.40296966,166.53463176000002,0.94887192,51.584480000000006,0.0017907230925047319,10.854372328000002,0.0,-7.7902372594000004,0.0,27.99,1.149169921875,14.700000000000003,Hyperparameter
24.5,1621.1922045898436,0.0,1537.1573193359375,0.0,30.96,0.0,0.98,1.0,0.0,0.52,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21.88009115,30.503403520000003,80.5951324,1.5583328,13.021392,0.0017907230925047319,8.668902527999998,0.0,-9.4125603,0.0,28.693999999999996,1.149169921875,14.700000000000003,Hyperparameter
24.5,1668.058583984375,0.0,1572.6769555664061,0.0,114.94,0.0,0.98,1.0,0.0,0.58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29.237434117999996,36.57688114,94.26660881999999,1.0939904,21.318708,0.0017907230925047319,8.320400813,0.0,-9.009900376000001,0.0,28.067999999999998,1.149169921875,14.700000000000003,Hyperparameter
24.5,1699.4376342773437,0.0,1564.3656860351562,0.0,77.96,0.0,0.98,1.0,0.0,0.38,1.0,1.0,1.0,1.0,0.0,0.0,0.0,43.845699337999996,50.11777662,129.14311556,0.44344826,36.257968,0.0017907230925047319,8.378688173999999,0.0,-9.54636985,0.0,28.028,1.149169921875,14.799999999999997,Hyperparameter
24.5,11258.16300048828,0.0,2111.6698706054685,0.0,282.86,0.0,0.98,1.0,0.0,0.68,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1076.7034041599998,905.7670311199998,2185.8576251399995,6.3606511999999995,1137.9884,0.0017907230925047319,4.521970484000001,0.0,-12.669788687999999,0.0,28.691999999999997,1.149169921875,14.799999999999997,Hyperparameter
24.5,1946.6984765625,0.0,1596.3973168945313,0.0,201.94,0.0,0.98,1.0,0.0,0.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,114.648330054,111.57667260000002,289.87294860000003,0.064764056,102.193212,0.0017907230925047319,8.068365537,0.0,-10.258313368,0.0,28.037999999999993,1.149169921875,14.799999999999997,Hyperparameter
24.5,1985.9093359375,0.0,1456.6835278320314,0.0,248.0,0.0,0.98,1.0,0.0,0.82,1.0,1.0,1.0,1.0,0.0,0.0,0.0,168.05185701000002,165.68715284000007,397.03446041999996,0.1541442,123.20353152799998,0.0017907230925047319,13.141475002,0.3595292372,-5.8300714256,10.4998349682,28.039999999999996,1.149169921875,14.799999999999997,Hyperparameter
24.5,10198.824606933595,0.0,1941.9276953125,0.0,224.88,0.0,0.98,1.0,0.0,0.68,1.0,1.0,1.0,1.0,0.0,0.0,0.0,925.753352498,812.81689572,2203.41971534,5.1137008,924.37046,0.0017907230925047319,5.518909427,0.0,-12.793170027999997,0.0,28.099999999999994,1.149169921875,14.799999999999997,Hyperparameter
24.5,1633.28779296875,0.0,1556.3005029296876,0.0,27.96,0.0,0.98,1.0,0.0,0.34,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22.01982647,31.129391040000005,82.62831118,1.1904316,12.32697,0.0017907230925047319,8.445796384,0.0,-10.431511774,0.0,28.073999999999998,1.149169921875,14.700000000000003,Hyperparameter
24.5,0.6931612479686737,0.499537495970726,0.6930918967723847,0.5193600130081176,0.0,0.0,0.0,0.84,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0008691017247999999,0.0011089898807999999,0.003253641236,2.379802902e-05,0.00038024021940000007,0.00017907233530147664,0.1710423096,0.007085780306,-0.00023000513737999996,0.001125738595,1.8300000000000003,11.672177734375,7.3,Hyperparameter
24.5,2141.3782080078126,0.0,1599.2098901367187,0.0,221.94,0.0,0.98,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,158.59042981800002,149.12633072000003,374.36791878,0.39969990000000005,155.25417,0.0017907230925047319,8.074228642000001,0.0,-10.145928805999999,0.0,28.075999999999993,1.149169921875,14.799999999999997,Hyperparameter
24.5,1.0111425054073333,0.5099999904632568,0.9936854326725006,0.5,0.0,0.0,0.38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.006785702278,0.003269854912,0.011024156297999998,0.0026519226140000003,0.006733365103999999,0.00017907233530147664,0.08604320242,0.1656738164,0.0007711732257999998,0.0022575845165999997,5.91,0.39013671875,8.584000000000001,Loss
24.5,1656.2721508789064,0.0,1534.5693237304688,0.0,91.96,0.0,0.98,1.0,0.0,0.44,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31.911214134000012,39.08121272000001,105.65815515999999,1.3182036,22.338184000000002,0.0017907230925047319,8.725159884,0.0,-9.551956786,0.0,28.283999999999995,1.149169921875,14.799999999999997,Hyperparameter
24.5,2097.8523217773436,0.0,1617.027109375,0.0,173.92,0.0,0.98,1.0,0.0,0.42,1.0,1.0,1.0,1.0,0.0,0.0,0.0,159.800562472,149.46908876,401.64721489999994,0.22190403,144.34718800000002,0.0017907230925047319,7.965029695999999,0.0,-9.980349462,0.0,28.123999999999995,1.149169921875,14.799999999999997,Hyperparameter
